Starting...
Timestamp	Priority	Depth	Size	Code	URL
2024-09-26 20:13:49.644316	2	1	127622	200	https://businessdesk.co.nz/advertise-on-businessdesk
2024-09-26 20:13:51.600683	2	2	179781	200	https://businessdesk.co.nz/art
2024-09-26 20:13:51.929320	1	0	223591	200	https://investmentnews.co.nz
2024-09-26 20:13:53.444528	2	3	170582	200	https://businessdesk.co.nz/article/culture/amp-embraces-a-new-worldview-maori-culture
2024-09-26 20:13:55.187080	2	1	154247	200	https://businessdesk.co.nz/article/law-regulation/five-days-to-submit-on-oil-and-gas-bill
2024-09-26 20:13:55.952964	2	1	154980	200	https://businessdesk.co.nz/article/markets/arvida-takeover-approved-another-listing-bites-the-dust
2024-09-26 20:13:57.749638	2	2	154805	200	https://businessdesk.co.nz/article/news-in-brief/complaint-upheld-against-ctv-building-engineering-company-owner
2024-09-26 20:13:58.467829	2	1	156636	200	https://businessdesk.co.nz/article/news-in-brief/aussie-shares-rally-to-rebound-from-losing-streak
2024-09-26 20:13:58.767904	2	1	154780	200	https://businessdesk.co.nz/article/news-in-brief/metservice-to-be-folded-into-niwa
2024-09-26 20:13:59.723558	2	3	155020	200	https://businessdesk.co.nz/article/news-in-brief/another-northland-solar-farm-gains-consent
2024-09-26 20:14:01.347628	2	1	155501	200	https://businessdesk.co.nz/article/primary-sector/more-than-600-jobs-on-the-line-as-alliance-workers-meet-in-timaru
2024-09-26 20:14:04.409157	2	3	172863	200	https://businessdesk.co.nz/article/the-life/bragging-rights-investment-is-driving-nft-art-prices-sky-high
2024-09-26 20:14:04.523582	2	3	168441	200	https://businessdesk.co.nz/article/the-life/change-of-scene-a-look-at-john-barnetts-new-online-art-buying-platform
2024-09-26 20:14:04.874997	2	3	171462	200	https://businessdesk.co.nz/article/the-life/clearing-house-banks-art-treasures-go-under-the-hammer
2024-09-26 20:14:05.256722	2	3	181523	200	https://businessdesk.co.nz/article/the-life/as-good-as-gold-goldie-portraits-in-a-league-of-their-own
2024-09-26 20:14:05.295384	2	3	173904	200	https://businessdesk.co.nz/article/the-life/gold-rush-its-boom-times-in-the-australia-art-market
